id,name,latitude,longitude,category
4,Pier 39,37.80995,-122.41017,Entertainment
7,Fisherman's Wharf,37.80813,-122.41659,Entertainment
8,Oracle Park,37.77841,-122.38941,Entertainment
10,Exploratorium,37.80091,-122.39852,Entertainment
18,San Francisco Museum of Modern Art (SFMOMA),37.78594,-122.40063,Entertainment
21,Oakland Zoo,37.75075,-122.14396,Entertainment
29,Santana Row,37.3206,-121.94816,Entertainment
30,Levi's Stadium,37.40299,-121.97006,Entertainment
33,Children’s Fairyland,37.80876,-122.26026,Entertainment
